c65,c36,c69,c40,c63,c61,c37,c62,c57,c56,c47,c54,c53,c52,c51,c41,c71,c70,c73,c72,c75,c74,c59,c58,c19,c18,c39,c38,c13,c12,c11,c10,c17,c16,c15,c14,c44,c68,c42,c45,c55,c46,c50,c35,c9,c8,c76,c34,c3,c2,c1,c7,c6,c5,c4,c22,c23,c20,c21,c26,c27,c24,c25,c66,c31,c28,c29,c48,c49,c60,c30,c33,c67,c43,c32,c64
10%,8%,11%,7%,10%,10%,12%,10%,10%,11%,9%,12%,13%,12%,8%,8%,16%,10%,10%,11%,8%,11%,11%,10%,9%,4%,13%,12%,12%,8%,11%,11%,8%,31%,**,**,**,12%,9%,8%,8%,9%,12%,10%,20%,12%,8%,9%,8%,9%,10%,Falling Further Into Debt,8%,12%,11%,11%,5%,100%,4%,14%,0%,0%,0%,0%,10%,9%,8%,11%,9%,15%,9%,10%,10%,15%,4%,8%,10%
23%,23%,31%,18%,24%,29%,30%,27%,28%,32%,29%,29%,33%,31%,24%,25%,43%,33%,25%,28%,22%,30%,26%,29%,26%,17%,41%,31%,39%,30%,27%,29%,27%,54%,**,**,**,34%,28%,25%,22%,20%,36%,28%,33%,30%,20%,29%,28%,27%,29%,Just Getting By ,32%,28%,32%,30%,17%,0%,7%,42%,0%,0%,100%,0%,30%,20%,24%,30%,28%,36%,26%,29%,30%,35%,10%,25%,29%
28%,28%,26%,27%,28%,27%,27%,29%,29%,26%,31%,29%,25%,28%,30%,29%,27%,29%,29%,28%,29%,25%,28%,28%,29%,34%,30%,29%,27%,30%,33%,27%,27%,11%,**,**,**,26%,28%,31%,29%,28%,28%,28%,17%,28%,28%,29%,31%,28%,28%,Making Ends Meet ,27%,30%,27%,28%,34%,0%,11%,30%,0%,0%,0%,100%,28%,28%,27%,29%,27%,28%,29%,27%,28%,27%,24%,31%,28%
29%,29%,22%,33%,27%,23%,25%,25%,22%,22%,22%,20%,20%,21%,26%,29%,9%,20%,27%,25%,29%,25%,24%,23%,26%,35%,12%,20%,16%,19%,21%,24%,27%,1%,**,**,**,19%,25%,28%,29%,30%,19%,25%,20%,21%,31%,23%,24%,25%,24%,Setting Aside Some For A Rainy Day,25%,21%,21%,22%,36%,0%,43%,11%,100%,0%,0%,0%,22%,28%,28%,22%,25%,14%,26%,25%,24%,16%,41%,26%,23%
9%,11%,9%,13%,10%,8%,6%,7%,9%,6%,8%,9%,6%,6%,11%,8%,3%,6%,8%,7%,10%,7%,9%,8%,9%,8%,2%,6%,4%,10%,7%,8%,10%,1%,**,**,**,5%,8%,6%,11%,12%,5%,8%,8%,7%,12%,8%,7%,10%,8%,Prospering,8%,8%,6%,6%,7%,0%,34%,2%,0%,100%,0%,0%,8%,14%,12%,7%,8%,5%,10%,7%,7%,5%,18%,9%,8%
1%,1%,2%,2%,1%,2%,1%,1%,2%,2%,1%,2%,3%,1%,1%,1%,2%,2%,2%,2%,2%,1%,2%,2%,1%,2%,1%,1%,2%,3%,2%,1%,1%,1%,**,**,**,3%,1%,1%,1%,1%,1%,2%,1%,2%,1%,2%,1%,2%,2%,Not Sure,1%,1%,3%,2%,1%,0%,2%,0%,0%,0%,0%,0%,2%,1%,0%,1%,2%,2%,1%,2%,1%,1%,2%,1%,1%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
35%,70%,21%,29%,27%,28%,14%,4%,27%,22%,33%,31%,18%,29%,30%,42%,23%,36%,31%,28%,33%,28%,23%,23%,46%,31%,29%,30%,28%,22%,7%,35%,33%,18%,**,**,**,19%,31%,30%,36%,42%,31%,30%,3%,26%,33%,32%,4%,33%,29%,Republican,33%,29%,23%,26%,37%,22%,36%,36%,35%,44%,25%,28%,28%,75%,100%,0%,28%,19%,51%,0%,19%,18%,37%,60%,30%
31%,6%,46%,42%,43%,38%,57%,78%,34%,39%,39%,36%,37%,39%,40%,34%,39%,30%,36%,41%,31%,36%,41%,41%,31%,38%,37%,36%,33%,46%,71%,30%,37%,38%,**,**,**,43%,37%,37%,34%,34%,35%,37%,82%,38%,37%,36%,75%,32%,37%,Democrat,37%,39%,37%,42%,30%,41%,35%,29%,34%,31%,39%,40%,39%,9%,0%,100%,38%,44%,19%,0%,36%,46%,35%,16%,37%
2%,1%,2%,2%,2%,3%,2%,1%,2%,2%,2%,3%,3%,3%,2%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,3%,2%,3%,3%,1%,2%,1%,2%,**,**,**,2%,2%,2%,2%,2%,1%,2%,3%,3%,1%,2%,2%,2%,2%,Other Party,1%,3%,3%,2%,2%,3%,2%,2%,1%,2%,2%,2%,2%,1%,0%,0%,2%,3%,2%,0%,3%,4%,2%,2%,2%
26%,21%,24%,24%,23%,24%,23%,16%,30%,30%,22%,23%,31%,22%,24%,21%,26%,25%,25%,22%,29%,26%,27%,28%,18%,25%,24%,25%,25%,23%,16%,27%,25%,27%,**,**,**,27%,25%,25%,23%,18%,27%,25%,12%,25%,26%,23%,18%,27%,25%,Independent,24%,23%,27%,23%,27%,25%,24%,26%,26%,21%,25%,24%,25%,13%,0%,0%,26%,23%,21%,100%,38%,25%,22%,20%,25%
5%,2%,6%,3%,5%,6%,4%,2%,7%,7%,5%,7%,11%,7%,5%,2%,9%,8%,6%,7%,5%,7%,6%,6%,3%,4%,7%,6%,12%,7%,5%,6%,4%,14%,**,**,**,9%,6%,5%,5%,4%,6%,6%,1%,8%,3%,6%,1%,5%,6%,Not Sure,4%,6%,11%,8%,4%,9%,2%,6%,3%,2%,9%,6%,7%,3%,0%,0%,6%,12%,6%,0%,5%,7%,4%,2%,6%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
13%,23%,9%,10%,10%,9%,3%,2%,5%,5%,10%,11%,5%,11%,10%,16%,10%,12%,10%,9%,11%,11%,9%,7%,19%,10%,9%,10%,11%,10%,4%,12%,12%,11%,**,**,**,8%,11%,10%,12%,21%,11%,10%,0%,9%,11%,11%,0%,11%,10%,Very Conservative,13%,10%,8%,9%,11%,9%,13%,11%,12%,18%,7%,10%,10%,100%,26%,2%,10%,8%,24%,5%,0%,7%,11%,0%,10%
27%,40%,17%,21%,19%,20%,11%,8%,22%,17%,26%,20%,14%,23%,22%,29%,19%,26%,22%,18%,26%,20%,20%,19%,30%,24%,22%,22%,22%,17%,16%,24%,26%,16%,**,**,**,17%,23%,23%,25%,27%,23%,22%,0%,18%,26%,24%,0%,25%,22%,Conservative,25%,19%,18%,18%,26%,16%,20%,24%,24%,25%,19%,24%,20%,0%,45%,9%,22%,15%,34%,17%,0%,14%,24%,100%,22%
36%,30%,36%,36%,41%,33%,34%,38%,47%,37%,39%,38%,37%,34%,38%,34%,35%,33%,38%,37%,39%,38%,38%,38%,31%,38%,37%,37%,35%,39%,41%,35%,34%,32%,**,**,**,36%,37%,38%,36%,31%,37%,36%,0%,38%,33%,36%,0%,37%,36%,Moderate,34%,39%,38%,35%,36%,34%,31%,35%,37%,31%,38%,36%,36%,0%,24%,34%,35%,38%,26%,55%,100%,31%,36%,0%,36%
12%,3%,20%,22%,18%,21%,31%,32%,14%,22%,13%,15%,21%,13%,19%,15%,15%,12%,18%,20%,15%,17%,17%,20%,11%,17%,17%,16%,12%,21%,17%,16%,17%,14%,**,**,**,19%,16%,17%,16%,12%,15%,17%,0%,17%,19%,14%,100%,15%,17%,Liberal,16%,17%,17%,19%,16%,14%,24%,16%,17%,16%,17%,19%,18%,0%,2%,34%,18%,16%,6%,12%,0%,23%,20%,0%,17%
5%,1%,10%,9%,8%,9%,16%,16%,4%,10%,6%,7%,11%,9%,5%,4%,8%,6%,7%,9%,5%,6%,9%,9%,4%,7%,7%,7%,6%,8%,11%,7%,7%,11%,**,**,**,10%,6%,8%,6%,4%,6%,7%,100%,8%,7%,6%,0%,6%,8%,Very Liberal,7%,8%,8%,9%,6%,15%,11%,6%,6%,8%,9%,5%,8%,0%,1%,17%,8%,9%,2%,4%,0%,17%,7%,0%,8%
6%,3%,8%,3%,4%,7%,5%,3%,7%,8%,7%,8%,11%,10%,5%,2%,13%,10%,6%,7%,4%,8%,7%,7%,4%,5%,8%,8%,14%,5%,10%,7%,5%,17%,**,**,**,10%,7%,5%,5%,4%,8%,7%,0%,9%,4%,8%,0%,5%,7%,Not Sure,5%,7%,11%,9%,4%,12%,2%,8%,3%,2%,10%,6%,7%,0%,2%,3%,7%,14%,7%,7%,0%,9%,3%,0%,7%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
41%,100%,25%,33%,34%,29%,16%,0%,32%,26%,35%,34%,20%,32%,36%,45%,26%,39%,33%,28%,39%,33%,31%,27%,48%,34%,32%,33%,30%,21%,5%,40%,39%,21%,**,**,**,21%,35%,34%,40%,46%,35%,33%,4%,27%,41%,35%,7%,38%,32%,Trump,38%,32%,23%,27%,43%,25%,40%,41%,40%,46%,26%,32%,30%,72%,78%,6%,32%,21%,56%,27%,27%,18%,41%,60%,33%
27%,0%,41%,45%,41%,35%,53%,100%,33%,35%,34%,31%,34%,34%,35%,34%,31%,25%,34%,38%,30%,34%,37%,38%,27%,37%,31%,31%,24%,37%,64%,28%,39%,28%,**,**,**,36%,33%,35%,33%,34%,32%,34%,72%,30%,41%,32%,65%,30%,34%,Clinton,38%,34%,27%,38%,32%,35%,38%,24%,36%,31%,32%,36%,36%,8%,4%,71%,36%,35%,15%,21%,36%,41%,37%,12%,34%
9%,0%,7%,9%,7%,10%,8%,0%,10%,9%,9%,9%,9%,7%,8%,7%,8%,7%,9%,8%,10%,9%,8%,9%,6%,8%,9%,9%,5%,8%,7%,8%,7%,8%,**,**,**,8%,8%,8%,8%,6%,9%,8%,8%,9%,5%,6%,6%,9%,8%,Someone Else,8%,9%,9%,7%,8%,8%,6%,9%,7%,8%,9%,8%,8%,3%,4%,6%,8%,8%,6%,16%,12%,11%,8%,7%,8%
21%,0%,24%,12%,16%,24%,22%,0%,23%,29%,19%,24%,33%,24%,19%,13%,31%,25%,21%,23%,19%,21%,22%,24%,17%,18%,26%,24%,36%,29%,21%,22%,14%,39%,**,**,**,31%,22%,21%,17%,13%,22%,22%,15%,30%,12%,24%,22%,21%,23%,Did Not Vote,15%,23%,36%,25%,16%,29%,15%,25%,16%,15%,30%,22%,24%,15%,13%,17%,22%,33%,21%,33%,24%,27%,12%,19%,24%
1%,0%,3%,2%,2%,3%,1%,0%,2%,2%,2%,2%,4%,2%,2%,1%,4%,3%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,4%,4%,2%,2%,1%,5%,**,**,**,3%,2%,1%,2%,2%,2%,2%,1%,4%,1%,3%,2%,2%,2%,Can't Remember,1%,2%,5%,3%,2%,3%,1%,1%,1%,1%,3%,1%,2%,1%,1%,1%,2%,4%,2%,3%,2%,2%,1%,2%,2%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
22%,25%,28%,0%,27%,24%,21%,20%,27%,29%,28%,28%,32%,30%,24%,22%,41%,35%,23%,21%,25%,28%,29%,25%,30%,20%,35%,0%,100%,31%,26%,28%,25%,48%,**,**,**,33%,27%,23%,23%,21%,27%,26%,21%,29%,22%,28%,20%,29%,27%,High School,28%,25%,32%,26%,20%,32%,7%,36%,18%,15%,37%,26%,28%,28%,26%,24%,27%,42%,31%,27%,27%,29%,10%,28%,27%
43%,38%,37%,0%,33%,41%,38%,34%,37%,39%,40%,35%,39%,40%,36%,36%,41%,39%,37%,40%,34%,37%,32%,38%,37%,35%,44%,100%,0%,37%,41%,37%,38%,40%,**,**,**,38%,37%,41%,34%,31%,44%,37%,35%,37%,38%,38%,34%,35%,37%,Some College,38%,35%,39%,40%,34%,45%,23%,46%,32%,28%,40%,39%,36%,38%,39%,36%,39%,39%,36%,38%,38%,43%,25%,38%,38%
35%,36%,35%,100%,40%,35%,40%,46%,36%,32%,33%,37%,29%,30%,40%,42%,18%,27%,40%,39%,41%,35%,39%,37%,34%,45%,21%,0%,0%,32%,32%,35%,37%,12%,**,**,**,29%,36%,36%,43%,48%,29%,37%,44%,34%,41%,34%,46%,36%,35%,4-year College Degree,34%,40%,29%,34%,46%,23%,69%,18%,50%,57%,22%,35%,35%,34%,35%,40%,34%,18%,32%,35%,35%,28%,65%,34%,35%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
31%,33%,47%,21%,21%,41%,37%,37%,39%,43%,41%,36%,47%,47%,32%,36%,100%,48%,33%,37%,28%,39%,38%,40%,40%,24%,55%,45%,61%,43%,52%,39%,39%,90%,**,**,**,53%,40%,0%,24%,33%,57%,39%,41%,42%,37%,43%,36%,36%,41%,< $40K,41%,38%,44%,45%,21%,62%,7%,54%,16%,17%,61%,39%,43%,41%,32%,42%,43%,57%,42%,43%,39%,47%,0%,37%,43%
42%,37%,32%,36%,41%,33%,37%,37%,36%,36%,36%,36%,34%,32%,39%,38%,0%,35%,39%,38%,39%,38%,36%,36%,37%,44%,37%,39%,30%,35%,34%,36%,35%,9%,**,**,**,34%,36%,100%,39%,37%,30%,36%,37%,36%,40%,36%,36%,37%,36%,$40K - $80K,32%,35%,37%,35%,46%,28%,25%,38%,43%,29%,31%,40%,34%,34%,38%,36%,36%,33%,36%,36%,37%,33%,0%,37%,35%
27%,30%,21%,43%,37%,26%,26%,26%,25%,21%,23%,28%,19%,20%,29%,27%,0%,18%,28%,24%,33%,23%,27%,24%,23%,31%,8%,16%,8%,22%,14%,25%,25%,1%,**,**,**,13%,24%,0%,36%,30%,13%,25%,21%,22%,23%,21%,28%,27%,24%,> $80K,27%,27%,18%,20%,32%,10%,68%,8%,41%,55%,8%,20%,23%,25%,30%,22%,21%,10%,22%,21%,23%,21%,100%,26%,22%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18%,32%,29%,35%,11%,23%,33%,34%,32%,48%,28%,33%,31%,20%,23%,26%,41%,24%,47%,24%,23%,21%,18%,69%,26%,43%,35%,37%,27%,15%,12%,65%,44%,10%,2%,2%,4%,37%,87%,36%,46%,21%,17%,91%,8%,56%,18%,37%,17%,49%,100%,Composition of Adults,26%,26%,31%,51%,28%,10%,10%,23%,24%,8%,29%,28%,81%,10%,29%,37%,66%,9%,28%,25%,36%,11%,24%,22%,87%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Attend Religious Service,Religion,,,Education,2016 Vote,Ideology,Party Affiliation,Single Parent,Child < 18,Marital Status,Income,,,,,,,,,Paycheck,White X Class,,,Gender,All,4800 Adults,Class,Race,<50 / 50+,Age,Union HH,Military HH,Evangelical,Abortion,Suburban,Region,LGBTQ HH,Urbanicity,,,,,,,,,,,,,
No,Clinton,Suburban,< $40K,No,,In The M,High Sch,Yes,Yes,Almost N,No,Regularl,No Relig,Other,Catholic,$40K - $,Male,Rural,Northeas,Female,South,Midwest,Strongly,No,Upper-MC,MC,4-year C,Some Col,Asian,Hispanic,Black,White,Working,Poor,Other,Multirac,Married,Urban,> $80K,No Longe,Occasion,Yes,Protesta,Trump,50+,18-49,West,Very Lib,Female,Male,Credibility Interval: ± ,65+,50-64,35-49,18-34,Falling,Getting ,Working,Middle,Prosperi,Republic,Ends Mee,Rainy Da,Yes,Conserva,Democrat,Independ,Yes,No,Strongly,Very Con,Liberal,No,Single,Moderate,Yes
27%,24%,47%,30%,32%,39%,42%,39%,37%,42%,35%,27%,50%,36%,34%,24%,48%,30%,34%,32%,35%,37%,40%,39%,29%,33%,40%,38%,44%,44%,55%,31%,18%,48%,**,**,**,100%,34%,35%,0%,25%,0%,30%,48%,52%,11%,33%,41%,40%,37%,Single,22%,34%,66%,34%,28%,43%,26%,34%,29%,24%,44%,35%,39%,29%,24%,42%,41%,100%,28%,39%,37%,54%,20%,28%,36%
56%,58%,40%,56%,56%,45%,42%,45%,46%,41%,47%,61%,36%,45%,52%,55%,28%,49%,49%,47%,51%,46%,44%,44%,53%,52%,41%,42%,39%,45%,30%,50%,54%,27%,**,**,**,0%,48%,51%,100%,59%,0%,51%,38%,40%,58%,49%,44%,46%,46%,Married,52%,52%,30%,46%,56%,37%,63%,44%,57%,64%,35%,48%,44%,53%,57%,42%,39%,0%,54%,43%,46%,35%,71%,54%,46%
17%,18%,13%,14%,12%,16%,16%,16%,17%,17%,18%,12%,14%,19%,14%,22%,24%,21%,18%,21%,14%,17%,16%,17%,18%,15%,19%,20%,17%,11%,15%,20%,28%,26%,**,**,**,0%,18%,14%,0%,16%,100%,19%,14%,9%,31%,18%,15%,14%,17%,No Longer Married,26%,14%,4%,20%,16%,20%,11%,22%,13%,12%,21%,17%,17%,18%,18%,16%,20%,0%,18%,18%,17%,11%,9%,18%,18%
100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
